Vehicle_id|model|brand|year|month|miles|intake_date_time|number_of_owners
v0001H|Golf|Volswogen|2011|8|5000|20-01-2018 06:30:00|2
v0001F|Clio|Renault|2013|4|4000|10-02-2018 06:30:00|1
v0002F|Megane|Renault|2011|8|8000|12-04-2018 06:30:00|2
v0001L|La-Ferrari|Ferrari|2013|4|2000|16-05-2018 06:30:00|2
v0002L|812-TDF|Ferrari|2014|6|8000|09-11-2018 06:30:00|2
v0003L|F-40|Ferrari|2015|12|1000|06-12-2018 06:30:00|2
v0002H|Golf|Volswogen|2013|4|67000|25-01-2018 08:30:00|2
v0003H|Polo|Volswogen|2011|8|5000|29-06-2018 06:30:00|1
v0003F|Clio|Renault|2017|6|59000|30-08-2018 06:30:00|2
v0004F|Megane|Renault|2010|10|9000|23-03-2018 06:30:00|2
v0004L|F-50|Ferrari|2013|4|2000|14-02-2018 06:30:00|2
v0005L|F-12|Ferrari|2014|6|8000|24-01-2018 06:30:00|2
v0006L|488-GTB|Ferrari|2017|6|1000|11-05-2018 06:30:00|2
v0201H|Golf|Volswogen|2011|8|5000|20-12-2017 06:30:00|2
v0201F|Clio|Renault|2013|4|4000|10-02-2018 06:30:00|2
v0202F|Megane|Renault|2011|8|8000|26-04-2018 06:30:00|1
v0201L|La-Ferrari|Ferrari|2013|4|2000|16-05-2018 06:30:00|2
v0202L|812-TDF|Ferrari|2014|6|8000|09-11-2018 06:30:00|2
v0203L|F-40|Ferrari|2015|12|1000|21-12-2017 06:30:00|2
v0202H|Golf|Volswogen|2013|4|67000|11-01-2018 08:30:00|2
v0203H|Polo|Volswogen|2011|8|5000|29-06-2018 06:30:00|2
v0203F|Clio|Renault|2017|6|59000|30-09-2018 06:30:00|2
v0204F|Megane|Renault|2010|10|9000|23-03-2018 06:30:00|3
v0204L|F-50|Ferrari|2013|4|2000|14-02-2018 06:30:00|2
v0205L|F-12|Ferrari|2014|6|8000|24-01-2018 06:30:00|2
v0206L|488-GTB|Ferrari|2017|6|1000|11-05-2018 06:30:00|2
v0101H|Golf|Volswogen|2011|8|5000|20-01-2018 06:30:00|2
v0101F|Clio|Renault|2013|4|4000|10-02-2018 06:30:00|3
v0102F|Megane|Renault|2011|8|8000|12-11-2017 06:30:00|2
v0101L|La-Ferrari|Ferrari|2013|4|2000|16-05-2018 06:30:00|2
v0102L|812-TDF|Ferrari|2014|6|8000|09-11-2017 06:30:00|2
v0103L|F-40|Ferrari|2015|12|1000|06-12-2017 06:30:00|2
v0102H|Golf|Volswogen|2013|4|67000|25-11-2018 08:30:00|2
v0103H|Polo|Volswogen|2011|8|5000|29-06-2018 06:30:00|2
v0103F|Clio|Renault|2017|6|59000|30-09-2018 06:30:00|2
v0104F|Megane|Renault|2010|10|9000|23-06-2018 06:30:00|1
v0104L|F-50|Ferrari|2013|4|2000|14-11-2017 06:30:00|2
v0105L|F-12|Ferrari|2014|6|8000|24-09-2018 06:30:00|2
v0106L|488-GTB|Ferrari|2017|6|1000|11-07-2018 06:30:00|2
v0103N|Vulcan|Aston-Martin|2017|6|59000|30-09-2018 06:30:00|3
v0104N|Valkyre|Aston-Martin|2019|7|9000|23-08-2019 06:30:00|2
v0104N|DB-9|Aston-Martin|2018|4|2000|14-11-2018 06:30:00|2
v0105N|Valkyre|Aston-Martin|2019|6|8000|24-09-2019 06:30:00|2
v0106N|Vulcan|Aston-Martin|2017|6|1000|11-07-2018 06:30:00|2
