Vehicle_id|Amount_paid|Amount_Recieved
v0008H|20900000|81800000
v0008f|21800000|82700000
v0007f|22700000|83600000
v00021L|23600000|84500000
v00033L|24500000|85400000
v0009L|25400000|86300000
v00023H|26300000|87200000
v00065H|27200000|88100000
v00076F|28100000|89000000
v00087F|29000000|89900000
v00011L|29900000|90800000
v00056L|30800000|91700000
v00037L|31700000|92600000
v0108H|32600000|32600000
v0108f|33500000|166300000
v0107f|34400000|167200000
v01021L|35300000|168100000
v01033L|36200000|169000000
v0109L|40900000|169900000
v01023H|41800000|170800000
v01065H|42700000|171700000
v01076F|43600000|172600000
v01087F|44500000|173500000
v01011L|45400000|174400000
v01056L|46300000|175300000
v01037L|47200000|176200000
v0208H|48100000|177100000
v0208f|49000000|178000000
v0207f|49900000|178900000
v02021L|50800000|179800000
v02033L|51700000|180700000
v0209L|52600000|181600000
v02023H|53500000|182500000
v02065H|183400000|181600000
v02076F|101600000|59800000
v02087F|86300000|55300000
v02011L|87200000|56200000
v02056L|88100000|57100000
v02037L|89000000|58900000
