Vehicle_id|model|brand|year|miles|intake_date_time|sold_date_time
v0008H|verna|Hyundai|2011|5000|2018-02-20 06:30:00|2018-07-21 06:30:000
v0008f|Eco-sport|Ford|2013|4000|2018-01-11 06:30:00|2018-01-14 06:30:000
v0007f|Endeavour|Ford|2011|8000|2018-04-19 06:30:00|2018-08-21 06:30:000
v00021L|Gallardo|Lambhorghini|2013|2000|2018-01-22 06:30:00|2018-03-20 06:30:00
v00033L|Merchilago|Lambhorghini|2014|8000|2018-01-01 06:30:00|2018-01-11 06:30:00
v0009L|Aventador|Lambhorghini|2015|1000|2018-03-22 06:30:00|2018-04-20 06:30:00
v00023H|verna|Hyundai|2013|67000|2018-06-13 06:30:00|2018-08-20 06:30:00
v00065H|Elantra|Hyundai|2011|5000|2018-05-18 06:30:00|2018-12-21 06:30:000
v00076F|Eco-sport|Ford|2017|59000|2018-02-25 06:30:00|2018-11-20 06:30:00
v00087F|Endeavour|Ford|2010|9000|2018-02-11 06:30:00|2018-04-21 06:30:000
v00011L|Sesto-Elemento|Lambhorghini|2013|2000|2018-07-31 06:30:00|2018-08-20 06:30:00
v00056L|Hurrican|Lambhorghini|2014|8000|2018-08-28 06:30:00|2018-11-20 06:30:00
v00037L|Centanario|Lambhorghini|2017|1000|2018-12-01 06:30:00|2018-12-20 06:30:00
v0108H|verna|Hyundai|2011|5000|2017-02-20 06:30:00|2017-07-21 06:30:000
v0108f|Eco-sport|Ford|2013|4000|2017-01-11 06:30:00|2017-01-14 06:30:000
v0107f|Endeavour|Ford|2011|8000|2017-04-19 06:30:00|2017-08-21 06:30:000
v01021L|Gallardo|Lambhorghini|2013|2000|2017-01-22 06:30:00|2017-03-20 06:30:00
v01033L|Merchilago|Lambhorghini|2014|8000|2017-01-01 06:30:00|2017-01-11 06:30:00
v0109L|Aventador|Lambhorghini|2015|1000|2017-03-22 06:30:00|2017-04-20 06:30:00
v01023H|verna|Hyundai|2013|67000|2017-06-13 06:30:00|2017-08-20 06:30:00
v01065H|Elantra|Hyundai|2011|5000|2017-05-18 06:30:00|2017-12-21 06:30:000
v01076F|Eco-sport|Ford|2017|59000|2017-02-25 06:30:00|2017-11-20 06:30:00
v01087F|Endeavour|Ford|2010|9000|2017-02-11 06:30:00|2017-04-21 06:30:000
v01011L|Sesto-Elemento|Lambhorghini|2013|2000|2017-07-31 06:30:00|2017-08-20 06:30:00
v01056L|Hurrican|Lambhorghini|2014|8000|2017-08-28 06:30:00|2017-11-20 06:30:00
v01037L|Centanario|Lambhorghini|2017|1000|2017-12-01 06:30:00|2017-12-20 06:30:00
v0208H|verna|Hyundai|2011|5000|2016-02-20 06:30:00|2016-07-21 06:30:000
v0208f|Eco-sport|Ford|2013|4000|2016-01-11 06:30:00|2016-01-14 06:30:000
v0207f|Endeavour|Ford|2011|8000|2016-04-19 06:30:00|2016-08-21 06:30:000
v02021L|Gallardo|Lambhorghini|2013|2000|2016-01-22 06:30:00|2016-03-20 06:30:00
v02033L|Merchilago|Lambhorghini|2014|8000|2016-01-01 06:30:00|2016-01-11 06:30:00
v0209L|Aventador|Lambhorghini|2015|1000|2016-03-22 06:30:00|2016-04-20 06:30:00
v02023H|verna|Hyundai|2013|67000|2016-06-13 06:30:00|2016-08-20 06:30:00
v02065H|Elantra|Hyundai|2011|5000|2016-05-18 06:30:00|2016-12-21 06:30:000
v02076F|Eco-sport|Ford|2017|59000|2016-02-25 06:30:00|2016-11-20 06:30:00
v02087F|Endeavour|Ford|2010|9000|2016-02-11 06:30:00|2016-04-21 06:30:000
v02011L|Sesto-Elemento|Lambhorghini|2013|2000|2016-07-31 06:30:00|2016-08-20 06:30:00
v02056L|Hurrican|Lambhorghini|2014|8000|2016-08-28 06:30:00|2016-11-20 06:30:00
v02037L|Centanario|Lambhorghini|2017|1000|2016-12-01 06:30:00|2016-12-20 06:30:00
