mobile_handset_code|ping_location
a1|Chengalpattu
a1|Chengalpattu
a1|Chengalpattu
a1|Chengalpattu
a1|Chennai
a1|Chennai
a1|Chennai
a1|Chennai
a1|Chennai
a1|Chennai
a1|Chengalpattu
a1|Chengalpattu
a1|Chengalpattu
a1|Chengalpattu
a1|Chennai
a1|Chennai
a1|Chennai
a1|Pondy
a1|Pondy
a1|Pondy
a1|Pondy
a1|Pondy
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Mysuru
a2|Mysuru
a2|Mysuru
a2|Mysuru
a2|Mysuru
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
a2|Bangalore
